Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
125739000,00000264,0,R,0,8,01,08,0D,00,00,00,00,02
126000000,00000264,0,R,0,8,01,08,0D,00,00,00,00,02
126259000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
126523000,00000222,0,R,0,8,D1,00,3A,8A,00,00,00,00
126846000,0000040B,0,R,0,6,0C,01,00,00,00,00,,
127033000,00000222,0,R,0,8,D1,00,3A,8A,00,00,00,00
127225000,00000222,0,R,0,8,D1,00,3A,8A,00,00,00,00
127497000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
127692000,00000411,0,R,0,6,00,11,00,00,00,00,,
128545000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
128755000,0000040C,0,R,0,6,11,31,00,00,00,00,,
136712000,00000402,0,R,0,6,02,02,10,04,00,00,,
137609000,0000062A,0,R,0,8,5A,5A,09,35,53,37,77,32
137893000,00000461,0,R,0,8,00,00,00,17,1B,80,00,00
138106000,00000222,0,R,0,8,D1,00,3A,8A,00,00,00,00
138325000,00000570,0,R,0,4,00,00,00,00,,,,
138550000,00000522,0,R,0,8,00,00,00,00,00,00,00,00
138835000,00000402,0,R,0,6,03,01,00,00,00,00,,
139066000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
139317000,00000407,0,R,0,6,0A,01,00,00,00,00,,
139563000,00000164,0,R,0,8,80,00,06,00,00,00,00,00
139863000,0000040B,0,R,0,6,0C,01,00,00,00,00,,
140821000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
141060000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
141324000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
141519000,0000040C,0,R,0,6,11,01,00,00,00,00,,
141726000,00000407,0,R,0,6,0A,01,00,00,00,00,,
141930000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
142196000,00000407,0,R,0,6,0A,11,00,00,00,00,,
142402000,00000160,0,R,0,5,00,00,00,00,00,,,
142620000,00000525,0,R,0,8,FF,FF,0F,00,00,00,00,01
142856000,0000070C,0,R,0,8,10,52,19,46,07,00,00,00
143802000,00000264,0,R,0,8,01,08,0D,00,00,00,00,02
144016000,00000325,0,R,0,8,FF,7F,00,00,78,2A,00,0F
144241000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
144477000,00000401,0,R,0,6,02,11,00,00,00,00,,
144758000,0000040B,0,R,0,6,0C,01,00,00,00,00,,
144998000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
145238000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
145537000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
145791000,00000401,0,R,0,6,02,11,00,00,00,00,,
146041000,00000411,0,R,0,6,00,11,00,00,00,00,,
146984000,0000040A,0,R,0,6,0B,11,00,00,00,00,,
147228000,00000522,0,R,0,8,00,00,00,00,00,00,00,00
147427000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
147638000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
147847000,00000407,0,R,0,6,0A,11,00,00,00,00,,
148124000,00000411,0,R,0,6,00,11,00,00,00,00,,
148330000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
148544000,00000462,0,R,0,8,00,00,49,06,00,99,18,00
148766000,00000702,0,R,0,8,76,50,0C,18,04,00,00,00
149036000,00000401,0,R,0,6,02,11,00,00,00,00,,
149931000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
150155000,00000411,0,R,0,6,00,11,00,00,00,00,,
150445000,0000062F,0,R,0,8,7D,CF,1C,02,4D,00,10,1F
150666000,00000360,0,R,0,8,00,00,8A,00,00,00,00,00
150909000,00000265,0,R,0,8,00,08,01,00,00,00,00,02
151152000,00000525,0,R,0,8,FF,FF,0F,00,00,00,00,01
151454000,0000040C,0,R,0,6,11,11,00,00,00,00,,
151698000,00000403,0,R,0,6,07,31,00,00,00,00,,
166952000,00000264,0,R,0,8,01,08,0D,00,00,00,00,02
167868000,00000224,0,R,0,8,00,00,7F,00,00,7F,00,1F
